Store;Date;Weekly_Sales;Holiday_Flag;Temperature;Fuel_Price;CPI;Unemployment;Holiday_Events
1;05-02-2010;16436909;0;42.310000000000002;2.5720000000000001;211.09635840000001;8.1059999999999999;No aplica
1;12-02-2010;164195744;1;38.509999999999998;2.548;211.242176;8.1059999999999999;Super Bowl
1;19-02-2010;161196816;0;39.93;2.5139999999999998;211.28913919999999;8.1059999999999999;No aplica
1;26-02-2010;140972752;0;46.630000000000003;2.5609999999999999;211.31964160000001;8.1059999999999999;No aplica
1;05-03-2010;155480672;0;46.5;2.625;211.350144;8.1059999999999999;No aplica
1;12-03-2010;143954160;0;57.789999999999999;2.6669999999999998;211.38064639999999;8.1059999999999999;No aplica
1;19-03-2010;147251584;0;54.579999999999998;2.7200000000000002;211.215632;8.1059999999999999;No aplica
1;26-03-2010;140442992;0;51.450000000000003;2.7320000000000002;211.01804799999999;8.1059999999999999;No aplica
1;02-04-2010;159496832;0;62.270000000000003;2.7189999999999999;210.82045439999999;7.8079999999999998;No aplica
1;09-04-2010;154541856;0;65.859999999999999;2.77;210.62286080000001;7.8079999999999998;No aplica
1;16-04-2010;146605824;0;66.319999999999993;2.8079999999999998;210.48869999999999;7.8079999999999998;No aplica
1;23-04-2010;139125616;0;64.840000000000003;2.7949999999999999;210.43911679999999;7.8079999999999998;No aplica
1;30-04-2010;142510064;0;67.409999999999997;2.7799999999999998;210.38954240000001;7.8079999999999998;No aplica
1;07-05-2010;160395520;0;72.549999999999997;2.835;210.339968;7.8079999999999998;No aplica
1;14-05-2010;14942515;0;74.780000000000001;2.8540000000000001;210.33742079999999;7.8079999999999998;No aplica
1;21-05-2010;139966208;0;76.439999999999998;2.8260000000000001;210.617088;7.8079999999999998;No aplica
1;28-05-2010;143206992;0;80.439999999999998;2.7589999999999999;210.8967552;7.8079999999999998;No aplica
1;04-06-2010;161552464;0;80.689999999999998;2.7050000000000001;211.17642240000001;7.8079999999999998;No aplica
1;11-06-2010;154256112;0;80.430000000000007;2.6680000000000001;211.45608960000001;7.8079999999999998;No aplica
1;18-06-2010;150328400;0;84.109999999999999;2.637;211.4537728;7.8079999999999998;No aplica
1;25-06-2010;14227116;0;84.340000000000003;2.653;211.3386496;7.8079999999999998;No aplica
1;02-07-2010;149241808;0;80.909999999999997;2.669;211.2235392;7.7869999999999999;No aplica
1;09-07-2010;154607424;0;80.480000000000004;2.6419999999999999;211.10841600000001;7.7869999999999999;No aplica
1;16-07-2010;144893888;0;83.150000000000006;2.6230000000000002;211.10039040000001;7.7869999999999999;No aplica
1;23-07-2010;13850652;0;83.359999999999999;2.6080000000000001;211.23514879999999;7.7869999999999999;No aplica
1;30-07-2010;13719866;0;81.840000000000003;2.6400000000000001;211.3699072;7.7869999999999999;No aplica
1;06-08-2010;160549184;0;87.159999999999997;2.6269999999999998;211.50466560000001;7.7869999999999999;No aplica
1;13-08-2010;150823776;0;87;2.6920000000000002;211.63942399999999;7.7869999999999999;No aplica
1;20-08-2010;151308048;0;86.650000000000006;2.6640000000000001;211.6033664;7.7869999999999999;No aplica
1;27-08-2010;144914288;0;85.219999999999999;2.6190000000000002;211.56730880000001;7.7869999999999999;No aplica
1;03-09-2010;154016352;0;81.209999999999994;2.577;211.53125120000001;7.7869999999999999;No aplica
1;10-09-2010;150746064;1;78.689999999999998;2.5649999999999999;211.49519359999999;7.7869999999999999;Labour Day
1;17-09-2010;143037872;0;82.109999999999999;2.5819999999999999;211.5224576;7.7869999999999999;No aplica
1;24-09-2010;135179104;0;80.939999999999998;2.6240000000000001;211.59722239999999;7.7869999999999999;No aplica
1;01-10-2010;14533295;0;71.890000000000001;2.6030000000000002;211.67198719999999;7.8380000000000001;No aplica
1;08-10-2010;150824000;0;63.93;2.633;211.74675199999999;7.8380000000000001;No aplica
1;15-10-2010;14594091;0;67.180000000000007;2.7200000000000002;211.81374719999999;7.8380000000000001;No aplica
1;22-10-2010;1345454;0;69.859999999999999;2.7250000000000001;211.86129919999999;7.8380000000000001;No aplica
1;29-10-2010;138420928;0;69.640000000000001;2.7160000000000002;211.90883840000001;7.8380000000000001;No aplica
1;05-11-2010;155165920;0;58.740000000000002;2.6890000000000001;211.9563904;7.8380000000000001;No aplica
1;12-11-2010;149447952;0;59.609999999999999;2.7280000000000002;212.00393600000001;7.8380000000000001;No aplica
1;19-11-2010;148378416;0;51.409999999999997;2.7709999999999999;211.88967679999999;7.8380000000000001;No aplica
1;26-11-2010;195562416;1;64.519999999999996;2.7349999999999999;211.7484288;7.8380000000000001;Thanksgiving
1;03-12-2010;154803376;0;49.270000000000003;2.7080000000000002;211.60720000000001;7.8380000000000001;No aplica
