Date,Weekly_Sales,Store,CPI,Unemployment,Holiday_Events,week
2012-10-19,150806880,1,223.4257152,6.573,0,42
2012-10-26,149365968,1,223.4442496,6.573,0,43
2012-10-19,184799040,2,223.0598144,6.17,0,42
2012-10-26,183445840,2,223.0783488,6.17,0,43
2012-10-12,41080440,3,226.9239808,6.034,0,41
2012-10-19,42451308,3,226.968832,6.034,0,42
2012-10-19,209726688,4,131.1499648,3.879,0,42
2012-10-26,214959440,4,131.1931008,3.879,0,43
2012-10-19,31335816,5,224.0192768,5.422,0,42
2012-10-26,31955076,5,224.0378112,5.422,0,43
2012-10-19,143688400,6,225.050112,5.329,0,42
2012-10-26,143142640,6,225.0686208,5.329,0,43
2012-10-19,51642484,7,199.1481984,7.557,0,42
2012-10-26,49554328,7,199.2195328,7.557,0,43
2012-10-19,90030976,8,227.0184192,5.124,0,42
2012-10-26,89167144,8,227.036928,5.124,0,43
2012-10-19,54200944,9,227.214288,4.954,0,42
2012-10-26,54973148,9,227.2328192,4.954,0,43
2012-10-19,173483488,10,131.1499648,6.943,0,42
2012-10-26,174434912,10,131.1931008,6.943,0,43
2012-10-19,123207320,11,226.968832,6.034,0,42
2012-10-26,120072944,11,226.9873664,6.034,0,43
2012-10-12,93491744,12,131.1083392,10.199,0,41
2012-10-19,96094544,12,131.1499648,10.199,0,42
2012-10-19,201801008,13,131.1499648,5.621,0,42
2012-10-26,203518960,13,131.1931008,5.621,0,43
2012-10-19,159027472,14,192.3308544,8.667,0,42
2012-10-26,170435760,14,192.3089024,8.667,0,43
2012-10-12,55179964,15,138.9117,7.992,0,41
2012-10-19,55565276,15,138.8336128,7.992,0,42
2012-10-19,57719896,16,199.1481984,5.847,0,42
2012-10-26,47577016,16,199.2195328,5.847,0,43
2012-10-19,95735680,17,131.1499648,5.527,0,42
2012-10-26,94346528,17,131.1931008,5.527,0,43
2012-10-19,104870672,18,138.8336128,8.243,0,42
2012-10-26,112751624,18,138.7281664,8.243,0,43
2012-10-19,132110232,19,138.8336128,7.992,0,42
2012-10-26,132211792,19,138.7281664,7.992,0,43
2012-10-19,199936352,20,216.1464576,7.293,0,42
2012-10-26,203165056,20,216.1515776,7.293,0,43
2012-10-19,64136816,21,223.0598144,6.17,0,42
2012-10-26,67520288,21,223.0783488,6.17,0,43
2012-10-19,97802792,22,142.86336,7.543,0,42
2012-10-26,109442272,22,142.7624064,7.543,0,43
2012-10-19,136315584,23,138.8336128,4.145,0,42
2012-10-26,134745456,23,138.7281664,4.145,0,43
2012-10-19,125541488,24,138.8336128,8.692999999999998,0,42
2012-10-26,130718232,24,138.7281664,8.692999999999998,0,43
2012-10-19,68553184,25,216.1464576,7.293,0,42
2012-10-26,68894096,25,216.1515776,7.293,0,43
2012-10-12,104463968,26,138.9117,7.138,0,41
2012-10-19,97557800,26,138.8336128,7.138,0,42
2012-10-19,162037424,27,142.86336,8.0,0,42
2012-10-26,170304768,27,142.7624064,8.0,0,43
2012-10-19,114372448,28,131.1499648,10.199,0,42
2012-10-26,121386064,28,131.1931008,10.199,0,43
2012-10-19,51690924,29,138.8336128,9.151,0,42
2012-10-26,53497068,29,138.7281664,9.151,0,43
2012-10-12,43459328,30,223.015424,6.17,0,41
2012-10-19,43753728,30,223.0598144,6.17,0,42
2012-10-19,137873040,31,223.0598144,6.17,0,42
2012-10-26,134023256,31,223.0783488,6.17,0,43
2012-10-19,119929208,32,199.1481984,7.557,0,42
2012-10-26,121997928,32,199.2195328,7.557,0,43
2012-10-19,25441234,33,131.1499648,6.895,0,42
2012-10-26,25373112,33,131.1931008,6.895,0,43
2012-10-19,96351632,34,131.1499648,8.839,0,42
2012-10-26,95698784,34,131.1931008,8.839,0,43
2012-10-12,87364312,35,142.9376128,8.665,0,41
2012-10-19,82928464,35,142.86336,8.665,0,42
2012-10-19,28736004,36,222.0951808,6.228,0,42
2012-10-26,27248940,36,222.113664,6.228,0,43
2012-10-12,52181076,37,222.051072,6.228,0,41
2012-10-26,53473844,37,222.113664,6.228,0,43
2012-10-19,42880648,38,131.1499648,10.199,0,42
2012-10-26,41729040,38,131.1931008,10.199,0,43
2012-10-12,149441712,39,222.051072,6.228,0,41
2012-10-19,157748640,39,222.0951808,6.228,0,42
2012-10-12,98252328,40,138.9117,4.145,0,41
2012-10-26,92126448,40,138.7281664,4.145,0,43
2012-10-19,132619728,41,199.1481984,6.195,0,42
2012-10-26,131654256,41,199.2195328,6.195,0,43
2012-10-19,54140696,42,131.1499648,6.943,0,42
2012-10-26,51475608,42,131.1931008,6.943,0,43
2012-10-19,62391924,43,214.7212544,8.839,0,42
2012-10-26,58760356,43,214.7415424,8.839,0,43
2012-10-19,32376676,44,131.1499648,5.217,0,42
2012-10-26,36106708,44,131.1931008,5.217,0,43
2012-10-19,71812552,45,192.3308544,8.667,0,42
2012-10-26,76028144,45,192.3089024,8.667,0,43
